app_id,wit_list,rdg_text,lem_text,feature,variant_likelihood,reason,inference_rule
app-Y9.1a-3-4,#ms0410,※hāuuanīm,hāuuanīm,subst,0.5,borderline/unstable or unmapped,none
app-Y9.2d-8-9,#ms0008,stauuąn⁛,stauuąn,subst,0.5,borderline/unstable or unmapped,none
app-Y9.4e-6-7,#ms0008,βīra,vīra,βīra→vīra,0.5,borderline/unstable or unmapped,none
app-Y9.4e-9-10,#ms0410,uruuaire⁛※,uruuaire,subst,0.5,borderline/unstable or unmapped,none
app-Y9.8c-6-7,#ms0006,maińiiə̄uš,maińiiuš,subst,0.5,borderline/unstable or unmapped,none
app-Y9.8c-7-8,#ms0400,aoi,auui,subst,0.5,borderline/unstable or unmapped,none
app-Y9.8c-7-8,#ms0410,aoi,auui,subst,0.5,borderline/unstable or unmapped,none
app-Y9.11b-3-4,#ms0015,araōδat̰,⁺araōδat̰,subst,0.5,borderline/unstable or unmapped,none
app-Y9.11d-3-4,#ms0410,tafsaδca,tafsat̰ca,tafsaδca→tafsat̰ca,0.5,borderline/unstable or unmapped,none
app-Y9.13c-2-3,#ms0006,tə̄m,tūm,tə̄m→tūm,0.5,borderline/unstable or unmapped,none
app-Y9.15a-6-7,#ms0400,,yōi,deleted,0.5,borderline/unstable or unmapped,none
app-Y9.15a-6-7,#ms0410,,yōi,deleted,0.5,borderline/unstable or unmapped,none
app-Y9.16c-0-1,#ms0008,vaŋhə̄uš,vaŋhuš,subst,0.5,borderline/unstable or unmapped,none
app-Y9.19c-5-6,#ms0008,jaiδiiemi⁛,jaiδiiemi,subst,0.5,borderline/unstable or unmapped,none
app-Y9.20a-8-9,#ms0005,aēšā̊,aēšō,aēšā̊→aēšō,0.5,borderline/unstable or unmapped,none
app-Y9.20a-14-15,#ms0005,t̰baēšā̊,t̰baēšō,t̰baēšā̊→t̰baēšō,0.5,borderline/unstable or unmapped,none
app-Y9.20b-11-12,#ms0006,fraxštānə̄,fraxštāne,fraxštānə̄→fraxštāne,0.5,borderline/unstable or unmapped,none
app-Y9.20b-14-15,#ms0005,t̰baēšā̊,t̰baēšō,t̰baēšā̊→t̰baēšō,0.5,borderline/unstable or unmapped,none
app-Y9.20b-14-15,#ms0008,t̰baēšā̊,t̰baēšō,t̰baēšā̊→t̰baēšō,0.5,borderline/unstable or unmapped,none
app-Y9.21b-5-6,#ms0005,vīspe,vīspə̄,vīspe→vīspə̄,0.5,borderline/unstable or unmapped,none
app-Y9.22a-3-4,#ms0008,uruuaṇtō,auruuaṇtō,subst,0.5,borderline/unstable or unmapped,none
app-Y9.22a-3-4,#ms0015,uruuaṇtō,auruuaṇtō,subst,0.5,borderline/unstable or unmapped,none
app-Y9.22c-2-3,#ms0410,,yōi,deleted,0.5,borderline/unstable or unmapped,none
app-Y9.23a-10-11,#ms0410,mūšu,mošu,mūšu→mošu,0.5,borderline/unstable or unmapped,none
app-Y9.25b-1-2,#ms0008,ta,tē,ta→tē,0.5,borderline/unstable or unmapped,none
app-Y9.28c-1-2,#ms0088,h,hē,subst,0.5,borderline/unstable or unmapped,none
app-Y9.28d-2-3,#ms0006,ušə̄,uši,ušə̄→uši,0.5,borderline/unstable or unmapped,none
app-Y9.28d-2-3,#ms0008,ušə̄,uši,ušə̄→uši,0.5,borderline/unstable or unmapped,none
app-Y9.28d-2-3,#ms0015,ušə̄,uši,ušə̄→uši,0.5,borderline/unstable or unmapped,none
app-Y9.29c-4-5,#ms0005,nō,yō,subst,0.5,borderline/unstable or unmapped,none
app-Y9.29c-4-5,#ms0400,nō,yō,subst,0.5,borderline/unstable or unmapped,none
app-Y9.29c-4-5,#ms0410,nō,yō,subst,0.5,borderline/unstable or unmapped,none
app-Y9.32a-12-13,#ms0005,vātō,⁺vātō,subst,0.5,borderline/unstable or unmapped,none
app-Y9.32a-12-13,#ms0006,vātō,⁺vātō,subst,0.5,borderline/unstable or unmapped,none
app-Y9.32a-12-13,#ms0008,vātō,⁺vātō,subst,0.5,borderline/unstable or unmapped,none
app-Y9.32a-12-13,#ms0015,vātō,⁺vātō,subst,0.5,borderline/unstable or unmapped,none
app-Y9.32a-12-13,#ms0400,vātō,⁺vātō,subst,0.5,borderline/unstable or unmapped,none
app-Y9.32b-2-3,#ms0005,aṣ̌aōnąe,aṣ̌aōne,subst,0.5,borderline/unstable or unmapped,none
app-Y9.13c-2-3,#ms0006,tə̄m,tūm,tə̄m→tūm,0.5,borderline/unstable or unmapped,none
