app_id,wit_list,rdg_text,lem_text,feature,variant_likelihood,reason,inference_rule
app-Y9.4e-6-7,#ms0008,βīra.,vīra.,βīra→vīra,0.5,borderline/unstable or unmapped,none
app-Y9.5a-2-3,#ms0110,uruuahe.,auruuahe.,uruuahe→auruuahe,0.5,borderline/unstable or unmapped,none
app-Y9.5a-2-3,#ms0234,uruuahe.,auruuahe.,uruuahe→auruuahe,0.5,borderline/unstable or unmapped,none
app-Y9.8b-3-4,#ms0100,agəm.,aγəm.,agəm→aγəm,0.5,borderline/unstable or unmapped,none
app-Y9.8c-3-4,#ms0015,araca.,fraca.,araca→fraca,0.5,borderline/unstable or unmapped,none
app-Y9.8c-4-5,#ms0100,kərəm.tat̰.,kərəṇtat̰.,kərəm.tat̰→kərəṇtat̰,0.5,borderline/unstable or unmapped,none
app-Y9.8c-4-5,#ms0110,kərəm.̣tat̰.,kərəṇtat̰.,kərəm.̣tat̰→kərəṇtat̰,0.5,borderline/unstable or unmapped,none
app-Y9.8c-4-5,#ms0234,kərəm.tat̰.,kərəṇtat̰.,kərəm.tat̰→kərəṇtat̰,0.5,borderline/unstable or unmapped,none
app-Y9.8c-4-5,#ms0235,kərəm.tat̰.,kərəṇtat̰.,kərəm.tat̰→kərəṇtat̰,0.5,borderline/unstable or unmapped,none
app-Y9.8c-6-7,#ms0006,maińiiə̄uš.,maińiiuš.,maińiiə̄uš→maińiiuš,0.5,borderline/unstable or unmapped,none
app-Y9.8c-6-7,#ms0008,maińiiə̄uš.,maińiiuš.,maińiiə̄uš→maińiiuš,0.5,borderline/unstable or unmapped,none
app-Y9.8c-6-7,#ms0015,maińiiə̄uš.,maińiiuš.,maińiiə̄uš→maińiiuš,0.5,borderline/unstable or unmapped,none
app-Y9.8c-7-8,#ms0100,aoi.,auui.,aoi→auui,0.5,borderline/unstable or unmapped,none
app-Y9.8c-7-8,#ms0235,aoi.,auui.,aoi→auui,0.5,borderline/unstable or unmapped,none
app-Y9.8c-7-8,#ms0400,aoi.,auui.,aoi→auui,0.5,borderline/unstable or unmapped,none
app-Y9.8c-7-8,#ms0410,aoi.,auui.,aoi→auui,0.5,borderline/unstable or unmapped,none
app-Y9.11a-2-3,#ms0100,ajīm.,ažīm.,ajīm→ažīm,0.5,borderline/unstable or unmapped,none
app-Y9.11b-3-4,#ms0006,šaraōδat̰.,⁺araōδat̰.,šaraōδat̰→⁺araōδat̰,0.5,borderline/unstable or unmapped,none
app-Y9.11b-3-4,#ms0008,šaraōδat̰.,⁺araōδat̰.,šaraōδat̰→⁺araōδat̰,0.5,borderline/unstable or unmapped,none
app-Y9.11b-3-4,#ms0015,šaraōδat̰.,⁺araōδat̰.,šaraōδat̰→⁺araōδat̰,0.5,borderline/unstable or unmapped,none
app-Y9.11d-3-4,#ms0400,tafsaδca.,tafsat̰ca.,tafsaδca→tafsat̰ca,0.5,borderline/unstable or unmapped,none
app-Y9.11d-3-4,#ms0410,tafsaδca.,tafsat̰ca.,tafsaδca→tafsat̰ca,0.5,borderline/unstable or unmapped,none
app-Y9.11e-0-1,#ms0100,frąm.,frąš.,frąm→frąš,0.5,borderline/unstable or unmapped,none
app-Y9.16b-0-1,#ms0110,vaŋhə̄uš.,vaŋhuš.,vaŋhə̄uš→vaŋhuš,0.5,borderline/unstable or unmapped,none
app-Y9.16c-0-1,#ms0008,vaŋhə̄uš.,vaŋhuš.,vaŋhə̄uš→vaŋhuš,0.5,borderline/unstable or unmapped,none
app-Y9.20a-8-9,#ms0005,aēšā̊.,aēšō.,aēšā̊→aēšō,0.5,borderline/unstable or unmapped,none
app-Y9.20a-8-9,#ms0060,aēšā̊.,aēšō.,aēšā̊→aēšō,0.5,borderline/unstable or unmapped,none
app-Y9.20b-10-11,#ms0006,fraxštānə̄.,fraxštāne.,fraxštānə̄→fraxštāne,0.5,borderline/unstable or unmapped,none
app-Y9.21b-5-6,#ms0005,vīspe.,vīspə̄.,vīspe→vīspə̄,0.5,borderline/unstable or unmapped,none
app-Y9.21b-5-6,#ms0060,vīspe.,vīspə̄.,vīspe→vīspə̄,0.5,borderline/unstable or unmapped,none
app-Y9.21b-5-6,#ms0083,vīspe.,vīspə̄.,vīspe→vīspə̄,0.5,borderline/unstable or unmapped,none
app-Y9.21b-5-6,#ms0234,vīspe.,vīspə̄.,vīspe→vīspə̄,0.5,borderline/unstable or unmapped,none
app-Y9.21b-5-6,#ms0235,vīspe.,vīspə̄.,vīspe→vīspə̄,0.5,borderline/unstable or unmapped,none
app-Y9.22a-3-4,#ms0006,uruuaṇtō.,auruuaṇtō.,uruuaṇtō→auruuaṇtō,0.5,borderline/unstable or unmapped,none
app-Y9.22a-3-4,#ms0008,uruuaṇtō.,auruuaṇtō.,uruuaṇtō→auruuaṇtō,0.5,borderline/unstable or unmapped,none
app-Y9.22a-3-4,#ms0015,uruuaṇtō.,auruuaṇtō.,uruuaṇtō→auruuaṇtō,0.5,borderline/unstable or unmapped,none
app-Y9.22a-3-4,#ms0234,uruuaṇtō.,auruuaṇtō.,uruuaṇtō→auruuaṇtō,0.5,borderline/unstable or unmapped,none
app-Y9.23a-10-11,#ms0410,mūšu.,mošu.,mūšu→mošu,0.5,borderline/unstable or unmapped,none
app-Y9.24b-3-4,#ms0083,m.,mē.,m→mē,0.5,borderline/unstable or unmapped,none
app-Y9.24b-6-7,#ms0235,aivi.štiš.,aiβištiš.,aivi.štiš→aiβištiš,0.5,borderline/unstable or unmapped,none
app-Y9.24c-1-2,#ms0100,vīspe.,vīspə̄.,vīspe→vīspə̄,0.5,borderline/unstable or unmapped,none
app-Y9.24c-1-2,#ms0110,vīspe.,vīspə̄.,vīspe→vīspə̄,0.5,borderline/unstable or unmapped,none
app-Y9.24c-1-2,#ms0234,vīspe.,vīspə̄.,vīspe→vīspə̄,0.5,borderline/unstable or unmapped,none
app-Y9.24c-1-2,#ms0235,vīspe.,vīspə̄.,vīspe→vīspə̄,0.5,borderline/unstable or unmapped,none
app-Y9.24c-5-6,#ms0100,vīspe.,vīspə̄.,vīspe→vīspə̄,0.5,borderline/unstable or unmapped,none
app-Y9.24c-5-6,#ms0110,vīspe.,vīspə̄.,vīspe→vīspə̄,0.5,borderline/unstable or unmapped,none
app-Y9.24c-5-6,#ms0234,vīspe.,vīspə̄.,vīspe→vīspə̄,0.5,borderline/unstable or unmapped,none
app-Y9.24c-5-6,#ms0235,vīspe.,vīspə̄.,vīspe→vīspə̄,0.5,borderline/unstable or unmapped,none
app-Y9.25b-4-5,#ms0060,iacąm.,vacąm.,iacąm→vacąm,0.5,borderline/unstable or unmapped,none
app-Y9.26b-5-6,#ms0015,pairi.,paiti.,pairi→paiti,0.5,borderline/unstable or unmapped,none
app-Y9.26b-10-11,#ms0100,mąm.rahe.,mąϑrahe.,mąm.rahe→mąϑrahe,0.5,borderline/unstable or unmapped,none
app-Y9.28c-0-1,#ms0015,gə̄uruuaiiōi,gə̄uruuaiia.,gə̄uruuaiiōi→gə̄uruuaiia,0.5,borderline/unstable or unmapped,none
app-Y9.28d-0-1,#ms0006,pairišə̄.,pairi.šē.,pairišə̄→pairi.šē,0.5,borderline/unstable or unmapped,none
app-Y9.28d-0-1,#ms0008,pairišə̄.,pairi.šē.,pairišə̄→pairi.šē,0.5,borderline/unstable or unmapped,none
app-Y9.28d-0-1,#ms0083,pairišə.,pairi.šē.,pairišə→pairi.šē,0.5,borderline/unstable or unmapped,none
app-Y9.28d-0-1,#ms0088,pairišə̄.,pairi.šē.,pairišə̄→pairi.šē,0.5,borderline/unstable or unmapped,none
app-Y9.28d-0-1,#ms0235,pairišə,pairi.šē.,pairišə→pairi.šē,0.5,borderline/unstable or unmapped,none
app-Y9.28d-1-2,#ms0006,ušə̄.,uši.,ušə̄→uši,0.5,borderline/unstable or unmapped,none
app-Y9.28d-1-2,#ms0008,ušə̄.,uši.,ušə̄→uši,0.5,borderline/unstable or unmapped,none
app-Y9.28d-1-2,#ms0015,ušə̄.,uši.,ušə̄→uši,0.5,borderline/unstable or unmapped,none
app-Y9.28d-2-3,#ms0100,kərənūiδi.,vərənūiδi.,kərənūiδi→vərənūiδi,0.5,borderline/unstable or unmapped,none
app-Y9.28d-2-3,#ms0235,kərənūiδi.,vərənūiδi.,kərənūiδi→vərənūiδi,0.5,borderline/unstable or unmapped,none
app-Y9.29c-0-1,#ms0100,nō.,yō.,nō→yō,0.5,borderline/unstable or unmapped,none
app-Y9.29c-4-5,#ms0005,nō.,yō.,nō→yō,0.5,borderline/unstable or unmapped,none
