ocr_word,manual_word,distance,address,Unnamed: 4,manuscript_id,the change,Leitfehler
yaϑā,yaϑā,0,"[{'id': 'Y0.5YAV', 'index': 0}]",,5.0,,=
ahī,ahū,0,"[{'id': 'Y0.5YAV', 'index': 1}]",,5.0,ī for ū,1
vairiiō,vairiiō,0,"[{'id': 'Y0.5YAV', 'index': 2}]",,5.0,,=
frastuiiē,fərastuiiē,1,"[{'id': 'Y0.5YAV', 'index': 3}, {'id': 'Y0.6a', 'index': 0}]",,5.0,ə deleted,?
humatōibiiascā,humatōibiiascā,0,"[{'id': 'Y0.6a', 'index': 1}, {'id': 'Y0.6a', 'index': 2}]",,5.0,,=
hīxtōibiiascā,hūxtōibiiascā,1,"[{'id': 'Y0.6a', 'index': 3}]",,5.0,ī for ū,1
huuarəštōibiiscā,huuarštōibiiascā,2,"[{'id': 'Y0.6a', 'index': 4}, {'id': 'Y0.6a', 'index': 5}]",,5.0,"ə inserted, a deleted",?
mąϑβōibiiascā,mąϑβōibiiascā,0,"[{'id': 'Y0.6a', 'index': 6}]",,5.0,,=
vaxəδβōibiiascā,vaxəδβōibiiascā,0,"[{'id': 'Y0.6a', 'index': 7}]",,5.0,,=
varəštuuōibiiascā,varštuuōibiiascā,1,"[{'id': 'Y0.6a', 'index': 8}, {'id': 'Y0.6a', 'index': 9}]",,5.0,ə inserted,?
aibīgairiiā,aibīgairiiā,0,"[{'id': 'Y0.6a', 'index': 10}, {'id': 'Y0.6b', 'index': 0}]",,5.0,,=
daiϑī,daiϑē,1,"[{'id': 'Y0.6b', 'index': 1}]",,5.0,ī for ē,1
vīspā,vīspā,0,"[{'id': 'Y0.6b', 'index': 2}, {'id': 'Y0.6b', 'index': 3}]",,5.0,,=
humatācā,humatācā,0,"[{'id': 'Y0.6b', 'index': 4}]",,5.0,,=
hīxtācā,hūxtācā,1,"[{'id': 'Y0.6b', 'index': 5}]",,5.0,ī for ū,1
huuarštācā,huuarštācā,0,"[{'id': 'Y0.6b', 'index': 6}]",,5.0,,=
paitirəcā,paitīriciiā,3,"[{'id': 'Y0.6c', 'index': 0}]",,5.0,"i for ī, ə for i, ii deleted",?
paitirəciiā,paitīriciiā,2,"[{'id': 'Y0.6c', 'index': 1}]",,5.0,"i for ī, ə for i",1
paitirəcā,paitīriciiā,3,"[{'id': 'Y0.6c', 'index': 2}]",,5.0,"i for ī, ə for i, ii deleted",?
paitirəciiā,paitīriciiā,2,"[{'id': 'Y0.6c', 'index': 3}]",,5.0,"i for ī, ə for i",1
diiϑə̄,daiϑē,3,"[{'id': 'Y0.6c', 'index': 4}]",,5.0,"aii for ii, ə̄ for ē",1
vīspā,vīspā,0,"[{'id': 'Y0.6c', 'index': 5}]",,5.0,,=
dušmatācā,dušmatācā,0,"[{'id': 'Y0.6c', 'index': 6}]",,5.0,,=
dužīxtācā,dužūxtācā,1,"[{'id': 'Y0.6c', 'index': 7}, {'id': 'Y0.6c', 'index': 8}]",,5.0,ī for ū,1
dužuuarəštācā,dužuuarštācā,1,"[{'id': 'Y0.6c', 'index': 9}]",,5.0,ə inserted,?
frā,frā,0,"[{'id': 'Y0.6c', 'index': 10}, {'id': 'Y0.7a', 'index': 0}]",,5.0,,=
vīrāhə̄,və̄rāhī,2,"[{'id': 'Y0.7a', 'index': 1}]",,5.0,"ī for i, i for ī",1
aməṣ̌ā,aməṣ̌ā,0,"[{'id': 'Y0.7a', 'index': 2}]",,5.0,,=
spəṇtā,spəṇtā,0,"[{'id': 'Y0.7a', 'index': 3}]",,5.0,,=
yasnəmcā,yasnəmcā,0,"[{'id': 'Y0.7a', 'index': 4}]",,5.0,,=
vahməmcā,vaɱəmcā,1,"[{'id': 'Y0.7a', 'index': 5}]",,5.0,hm for ɱ,?
pərā,parā,1,"[{'id': 'Y0.7a', 'index': 6}, {'id': 'Y0.7b', 'index': 0}]",,5.0,ə for a,1
manaŋhā,manaŋhā,0,"[{'id': 'Y0.7b', 'index': 1}]",,5.0,,=
frā,frā,0,"[{'id': 'Y0.7b', 'index': 2}]",,5.0,,=
vacaŋhā,vacaŋhā,0,"[{'id': 'Y0.7b', 'index': 3}]",,5.0,,=
frā,frā,0,"[{'id': 'Y0.7b', 'index': 4}]",,5.0,,=
š́iiōϑanā,š́iiaōϑanā,1,"[{'id': 'Y0.7b', 'index': 5}, {'id': 'Y0.7b', 'index': 6}]",,5.0,ō for aō,?
frā,frā,0,"[{'id': 'Y0.7b', 'index': 7}]",,5.0,,=
aŋhā̊,aŋ́hā̊,1,"[{'id': 'Y0.7b', 'index': 8}]",,5.0,ŋ for ŋ́,r-b
fərātanuuascīt̰,fərātanuuascīt̰,0,"[{'id': 'Y0.7b', 'index': 9}]",,5.0,,=
xᵛax́iiā̊,xᵛax́iiā̊,0,"[{'id': 'Y0.7b', 'index': 10}, {'id': 'Y0.7b', 'index': 11}]",,5.0,,=
uštanəm,uštanəm,0,"[{'id': 'Y0.7b', 'index': 12}]",,5.0,,=
staōmī,staōmī,0,"[{'id': 'Y0.7b', 'index': 13}, {'id': 'Y0.8a', 'index': 0}]",,5.0,,=
aṣ̌əm,aṣ̌əm,0,"[{'id': 'Y0.8a', 'index': 1}, {'id': 'Y0.9AV', 'index': 0}]",,5.0,,=
vohī,vohū,1,"[{'id': 'Y0.9AV', 'index': 1}]",,5.0,ī for ū,1
