xml_id,canon_index,our_index,canon_word,our_word,relation,matched
Y0.6,0,,yašt,,delete,False
Y0.6,1,,būn,,delete,False
Y0.6,2,0,fərastuiiē.,frastuiiē.,substitution,True
Y0.6,3,1,humatōibiiascā.,humatōibiiascā.,equal,True
Y0.6,4,2,hūxtōibiiascā.,hīxtōibiiascā.,substitution,True
Y0.6,5,3,huuarštōibiiascā.,huuarəštōibiiscā.,substitution,True
Y0.6,6,4,mąϑβōibiiascā.,mąϑβōibiiascā.,equal,True
Y0.6,7,5,vaxəδβōibiiascā.,vaxəδβōibiiascā.,equal,True
Y0.6,8,6,varštuuōibiiascā.,varəštuuōibiiascā.,substitution,True
Y0.6,9,7,aibī.gairiiā.,aibī.gairiiā.,equal,True
Y0.6,10,8,daiϑē.,daiϑī.,substitution,True
Y0.6,11,9,vīspā.,vīspā.,equal,True
Y0.6,12,10,humatācā.,humatācā.,equal,True
Y0.6,13,11,hūxtācā.,hīxtācā.,substitution,True
Y0.6,14,12,huuarštācā.,huuarštācā.,equal,True
Y0.6,15,13,paitī.riciiā.,paitirəciiā.,substitution,True
Y0.6,16,14,daiϑē.,diiϑə̄.,substitution,True
Y0.6,17,15,vīspā.,vīspā.,equal,True
Y0.6,18,16,dušmatācā.,dušmatācā.,equal,True
Y0.6,19,17,dužūxtācā.,dužīxtācā.,substitution,True
Y0.6,20,18,dužuuarštācā.,dužuuarəštācā.,substitution,True
Y0.7,0,0,fərā.,frā.,substitution,True
Y0.7,1,,və̄.,,delete,False
Y0.7,2,1,rāhī.,vīrāhə̄.,substitution,True
Y0.7,3,2,aməṣ̌ā.,aməṣ̌ā.,equal,True
Y0.7,4,3,spəṇtā.,spəṇtā.,equal,True
Y0.7,5,4,yasnəmcā.,yasnəmcā.,equal,True
Y0.7,6,5,vaɱəmcā.,vahməmcā.,substitution,True
Y0.7,7,6,fərā.,pərā.,substitution,True
Y0.7,8,7,manaŋhā.,manaŋhā.,equal,True
Y0.7,9,8,fərā.,frā.,substitution,True
Y0.7,10,9,vacaŋhā.,vacaŋhā.,equal,True
Y0.7,11,10,fərā.,frā.,substitution,True
Y0.7,12,11,š́iiaōϑanā.,š́iiōϑanā.,substitution,True
Y0.7,13,12,fərā.,frā.,substitution,True
Y0.7,14,13,aŋhuiiā.,aŋhā̊.,substitution,True
Y0.7,15,14,fərā.,fərātanuuascīt̰.,many-to-one,True
Y0.7,,14,fərā.tanuuascīt̰.,fərātanuuascīt̰.,many-to-one (merged),True
Y0.7,16,14,tanuuascīt̰.,fərātanuuascīt̰.,many-to-one,True
Y0.7,17,15,xᵛax́iiā̊.,xᵛax́iiā̊.,equal,True
Y0.7,18,16,uštanəm.,uštanəm.,equal,True
Y0.8,0,0,staōmī.,staōmī.,equal,True
Y0.8,1,,aṣ̌əm.,,delete,False
Y0.9,0,0,aṣ̌əm.,aṣ̌əm.,equal,True
Y0.9,1,1,vohū.,vohī.,substitution,True
Y0.9,2,,vahištəm.,,delete,False
Y0.9,3,,astī.,,delete,False
Y0.9,4,,uštā.,,delete,False
Y0.9,5,,astī.,,delete,False
Y0.9,6,,uštā.,,delete,False
Y0.9,7,,aɱāi.,,delete,False
Y0.9,8,,hiiat̰.,,delete,False
Y0.9,9,,aṣ̌āi.,,delete,False
Y0.9,10,,vahištāi.,,delete,False
Y0.9,11,,aṣ̌əm.,,delete,False
Y0.10,0,0,frauuarāne.,frauuarāne.,equal,True
Y0.10,1,1,mazdaiiasnō.,mazdaiiasnō.,equal,True
Y0.10,2,2,zaraϑuštriš.,zaraϑuštrəš.,substitution,True
Y0.10,3,3,vīdaēuuō.,vīdaēuuō.,equal,True
Y0.10,4,4,ahura.t̰kaēšō.,ahura.t̰kaēšō.,equal,True
Y0.10,5,5,hāuuanə̄e.,hāuuanə̄e.,equal,True
Y0.10,6,6,aṣ̌aōne.,aṣ̌aōne.,equal,True
Y0.10,7,7,aṣ̌ahe.,aṣ̌ahe.,equal,True
