app_id,wit_list,rdg_text,lem_text,feature,variant_likelihood,reason,inference_rule
app-Y9.1a-5-6,#ms0005,ratīm,ratūm,ratīm→ratūm,0.5,borderline/unstable or unmapped,none
app-Y9.1a-5-6,#ms0006,ratīm,ratūm,ratīm→ratūm,0.5,borderline/unstable or unmapped,none
app-Y9.1a-5-6,#ms0015,ratīm,ratūm,ratīm→ratūm,0.5,borderline/unstable or unmapped,none
app-Y9.1a-5-6,#ms0088,ratīm,ratūm,ratīm→ratūm,0.5,borderline/unstable or unmapped,none
app-Y9.2a-0-7,#ms0005,āat̰ mē aēm paitiiaōxta haōmō aṣ̌auua dīraōšō,āat̰ mē aēm paitiiaōxta haōmō aṣ̌auua dūraōšō,dīraōšō→dūraōšō,0.5,borderline/unstable or unmapped,none
app-Y9.2a-0-7,#ms0006,āat̰ mē aēm paitiiaōxta haōmō aṣ̌auua dīraōšō,āat̰ mē aēm paitiiaōxta haōmō aṣ̌auua dūraōšō,dīraōšō→dūraōšō,0.5,borderline/unstable or unmapped,none
app-Y9.4a-6-7,#ms0005,dīraōšō,dūraōšō,dīraōšō→dūraōšō,0.5,borderline/unstable or unmapped,none
app-Y9.4a-6-7,#ms0006,dīraōšō,dūraōšō,dīraōšō→dūraōšō,0.5,borderline/unstable or unmapped,none
app-Y9.4a-6-7,#ms0015,dīraōšō,dūraōšō,dīraōšō→dūraōšō,0.5,borderline/unstable or unmapped,none
app-Y9.4a-6-7,#ms0088,dīraōšō,dūraōšō,dīraōšō→dūraōšō,0.5,borderline/unstable or unmapped,none
app-Y9.7a-6-7,#ms0006,dīraōšō,dūraōšō,dīraōšō→dūraōšō,0.5,borderline/unstable or unmapped,none
app-Y9.7a-6-7,#ms0015,dīraōšō,dūraōšō,dīraōšō→dūraōšō,0.5,borderline/unstable or unmapped,none
app-Y9.7a-6-7,#ms0088,dīraōšō,dūraōšō,dīraōšō→dūraōšō,0.5,borderline/unstable or unmapped,none
app-Y9.10a-6-7,#ms0088,dīraōšō,dūraōšō,dīraōšō→dūraōšō,0.5,borderline/unstable or unmapped,none
app-Y9.13a-2-7,#ms0015,aēm paitiiaōxta haōmō aṣ̌auua dīraōšō,aēm paitiiaōxta haōmō aṣ̌auua dūraōšō,dīraōšō→dūraōšō,0.5,borderline/unstable or unmapped,none
app-Y9.13c-2-3,#ms0005,tīm,tūm,tīm→tūm,0.5,borderline/unstable or unmapped,none
app-Y9.13c-2-3,#ms0006,tə̄m,tūm,tə̄m→tūm,0.5,borderline/unstable or unmapped,none
app-Y9.13c-2-3,#ms0015,tīm,tūm,tīm→tūm,0.5,borderline/unstable or unmapped,none
app-Y9.13c-2-3,#ms0088,tīm,tūm,tīm→tūm,0.5,borderline/unstable or unmapped,none
app-Y9.17e-1-4,#ms0005,aōjō vīspō tanīm,aōjō vīspō tanūm,tanīm→tanūm,0.5,borderline/unstable or unmapped,none
app-Y9.17e-1-4,#ms0088,aōjō vīspō tanīm,aōjō vīspō tanūm,tanīm→tanūm,0.5,borderline/unstable or unmapped,none
app-Y9.20a-0-9,#ms0006,iməm ϑβąm tīirīm yānəm haōma jaiδiiemi dīraōša yaϑa aēšō,iməm ϑβąm tūirīm yānəm haōma jaiδiiemi dūraōša yaϑa aēšō,subst,0.5,borderline/unstable or unmapped,none
app-Y9.20a-0-9,#ms0088,iməm ϑβąm tīirīm yānəm haōma jaiδiiemi dīraōša yaϑa aēšō,iməm ϑβąm tūirīm yānəm haōma jaiδiiemi dūraōša yaϑa aēšō,subst,0.5,borderline/unstable or unmapped,none
app-Y9.20a-14-17,#ms0005,t̰baēšā̊ tauruuā̊ drujim,t̰baēšō tauruuā̊ drujim,t̰baēšā̊→t̰baēšō,0.5,borderline/unstable or unmapped,none
app-Y9.22a-0-4,#ms0015,haōmō aēibiš yōi uruuaṇtō,haōmō aēibiš yōi auruuaṇtō,subst,0.5,borderline/unstable or unmapped,none
apparatus_multi_Y9_0008.v3__app-Y9.1a-5-6,#ms0008,ratīm,ratūm,ratīm→ratūm,0.5,borderline/unstable or unmapped,none
apparatus_multi_Y9_0008.v3__app-Y9.2a-6-7,#ms0008,dīraōšō,dūraōšō,dīraōšō→dūraōšō,0.5,borderline/unstable or unmapped,none
apparatus_multi_Y9_0008.v3__app-Y9.2d-7-9,#ms0008,saōš́iiaṇtō stauuąn⁛,saōš́iiaṇtō stauuąn,subst,0.5,borderline/unstable or unmapped,none
apparatus_multi_Y9_0008.v3__app-Y9.4a-6-7,#ms0008,dīraōšō,dūraōšō,dīraōšō→dūraōšō,0.5,borderline/unstable or unmapped,none
apparatus_multi_Y9_0008.v3__app-Y9.7a-6-7,#ms0008,dīraōšō,dūraōšō,dīraōšō→dūraōšō,0.5,borderline/unstable or unmapped,none
apparatus_multi_Y9_0008.v3__app-Y9.10a-6-7,#ms0008,dīraōšō,dūraōšō,dīraōšō→dūraōšō,0.5,borderline/unstable or unmapped,none
apparatus_multi_Y9_0008.v3__app-Y9.13c-1-3,#ms0008,hə̄ tə̄m,hē tūm,subst,0.5,borderline/unstable or unmapped,none
apparatus_multi_Y9_0008.v3__app-Y9.13c-5-6,#ms0008,tīm,tūm,tīm→tūm,0.5,borderline/unstable or unmapped,none
apparatus_multi_Y9_0008.v3__app-Y9.16c-0-1,#ms0008,vaŋhə̄uš,vaŋhuš,subst,0.5,borderline/unstable or unmapped,none
apparatus_multi_Y9_0008.v3__app-Y9.17e-3-4,#ms0008,tanīm,tanūm,tanīm→tanūm,0.5,borderline/unstable or unmapped,none
apparatus_multi_Y9_0008.v3__app-Y9.19b-6-7,#ms0008,dīraōša,dūraōša,dīraōša→dūraōša,0.5,borderline/unstable or unmapped,none
apparatus_multi_Y9_0008.v3__app-Y9.19c-5-7,#ms0008,jaiδiiemi⁛ dīraōša,jaiδiiemi dūraōša,subst,0.5,borderline/unstable or unmapped,none
apparatus_multi_Y9_0008.v3__app-Y9.20a-6-7,#ms0008,dīraōša,dūraōša,dīraōša→dūraōša,0.5,borderline/unstable or unmapped,none
apparatus_multi_Y9_0008.v3__app-Y9.20b-14-15,#ms0008,t̰baēšā̊,t̰baēšō,t̰baēšā̊→t̰baēšō,0.5,borderline/unstable or unmapped,none
apparatus_multi_Y9_0008.v3__app-Y9.25a-1-2,#ms0008,tə̄,tē,tə̄→tē,0.5,borderline/unstable or unmapped,none
apparatus_multi_Y9_6mss.v3__app-Y9.1a-5-6,#ms0005 #ms0006 #ms0015 #ms0088,ratīm,ratūm,ratīm→ratūm,0.5,borderline/unstable or unmapped,none
apparatus_multi_Y9_6mss.v3__app-Y9.2a-0-7,#ms0005 #ms0006,āat̰ mē aēm paitiiaōxta haōmō aṣ̌auua dīraōšō,āat̰ mē aēm paitiiaōxta haōmō aṣ̌auua dūraōšō,dīraōšō→dūraōšō,0.5,borderline/unstable or unmapped,none
apparatus_multi_Y9_6mss.v3__app-Y9.4a-6-7,#ms0005 #ms0006 #ms0015 #ms0088,dīraōšō,dūraōšō,dīraōšō→dūraōšō,0.5,borderline/unstable or unmapped,none
apparatus_multi_Y9_6mss.v3__app-Y9.7a-6-7,#ms0006 #ms0015 #ms0088,dīraōšō,dūraōšō,dīraōšō→dūraōšō,0.5,borderline/unstable or unmapped,none
apparatus_multi_Y9_6mss.v3__app-Y9.10a-6-7,#ms0088,dīraōšō,dūraōšō,dīraōšō→dūraōšō,0.5,borderline/unstable or unmapped,none
apparatus_multi_Y9_6mss.v3__app-Y9.13a-2-7,#ms0015,aēm paitiiaōxta haōmō aṣ̌auua dīraōšō,aēm paitiiaōxta haōmō aṣ̌auua dūraōšō,dīraōšō→dūraōšō,0.5,borderline/unstable or unmapped,none
apparatus_multi_Y9_6mss.v3__app-Y9.13c-2-3,#ms0005 #ms0015 #ms0088,tīm,tūm,tīm→tūm,0.5,borderline/unstable or unmapped,none
apparatus_multi_Y9_6mss.v3__app-Y9.13c-2-3,#ms0006,tə̄m,tūm,tə̄m→tūm,0.5,borderline/unstable or unmapped,none
apparatus_multi_Y9_6mss.v3__app-Y9.17e-1-4,#ms0005 #ms0088,aōjō vīspō tanīm,aōjō vīspō tanūm,tanīm→tanūm,0.5,borderline/unstable or unmapped,none
