generated,reference,distance,changes,features_comment,features_documented,address
aṣ̌əm,aṣ̌əm,0,,,,"[{'id': 'Y0.1AV', 'index': 0}]"
vō,vō,0,,,,"[{'id': 'Y0.1AV', 'index': 1}]"
hū,hū,0,,,,"[{'id': 'Y0.1AV', 'index': 2}]"
aṣ̌əm,aṣ̌əm,0,,,,"[{'id': 'Y0.1AV', 'index': 3}, {'id': 'Y0.2AV', 'index': 0}]"
vōhū,vohū,1,ō to o,,False,"[{'id': 'Y0.2AV', 'index': 1}, {'id': 'Y0.2AV', 'index': 2}]"
frauuarāne,frauuarāne,0,,,,"[{'id': 'Y0.2AV', 'index': 3}, {'id': 'Y0.3Frauuarane.a', 'index': 0}]"
mazdiiasnō,mazdaiiasnō,1,"ii to ai, i deleted",,False,"[{'id': 'Y0.3Frauuarane.a', 'index': 1}, {'id': 'Y0.3Frauuarane.a', 'index': 2}]"
zaraϑuštrəš,zaraϑuštriš,1,ə to i,,False,"[{'id': 'Y0.3Frauuarane.a', 'index': 3}]"
vīdaeuuō,vīdaēuuō,1,"a to aē, e inserted",,False,"[{'id': 'Y0.3Frauuarane.a', 'index': 4}, {'id': 'Y0.3Frauuarane.a', 'index': 5}]"
ahurat̰kaešō,ahura.t̰kaēšō,1,". deleted, a to aē, e inserted",,False,"[{'id': 'Y0.3Frauuarane.a', 'index': 6}]"
āϑrō,āϑrō,0,,,,"[{'id': 'Y0.3Frauuarane.a', 'index': 7}, {'id': 'Y0.3FireDed', 'index': 0}]"
ahurahe,ahurahe,0,,,,"[{'id': 'Y0.3FireDed', 'index': 1}]"
mazdā̊,mazdā̊,0,,,,"[{'id': 'Y0.3FireDed', 'index': 2}]"
puϑra,puϑra,0,,,,"[{'id': 'Y0.3FireDed', 'index': 3}]"
tauua,tauua,0,,,,"[{'id': 'Y0.3FireDed', 'index': 4}]"
āϑarš,ātarš,1,ϑ to t,,False,"[{'id': 'Y0.3FireDed', 'index': 5}]"
puϑra,puϑra,0,,,,"[{'id': 'Y0.3FireDed', 'index': 6}]"
ahurahe,ahurahe,0,,,,"[{'id': 'Y0.3FireDed', 'index': 7}]"
mazdā̊,mazdā̊,0,,,,"[{'id': 'Y0.3FireDed', 'index': 8}]"
xsnōϑra,xšnaōϑra,2,"s to š, ō to aō",,False,"[{'id': 'Y0.3FireDed', 'index': 9}]"
yaϑā,yaϑā,0,,,,"[{'id': 'Y0.3FireDed', 'index': 12}, {'id': 'Y0.3FireDed', 'index': 13}, {'id': 'Y0.3WazGr', 'index': 0}]"
ahū,ahū,0,,,,"[{'id': 'Y0.3WazGr', 'index': 1}]"
vairiiō,vairiiō,0,,,,"[{'id': 'Y0.3WazGr', 'index': 2}, {'id': 'Y0.3WazGr', 'index': 3}]"
zaōtā,zaōtā,0,,,,"[{'id': 'Y0.3WazGr', 'index': 4}]"
frā⸳mē,frā⸳mē,0,,,,"[{'id': 'Y0.3WazGr', 'index': 5}]"
mrūte,mrūtē,1,e to ē,,False,"[{'id': 'Y0.3WazGr', 'index': 6}]"
aϑā,aϑā,0,,,,"[{'id': 'Y0.3WazGr', 'index': 7}]"
ratuš,ratuš,0,,,,"[{'id': 'Y0.3WazGr', 'index': 8}]"
yaϑā,yaϑā,0,,,,"[{'id': 'Y0.3WazGr', 'index': 9}, {'id': 'Y0.3WazGrM', 'index': 0}]"
ahū,ahū,0,,,,"[{'id': 'Y0.3WazGrM', 'index': 1}]"
vairiiō,vairiiō,0,,,,"[{'id': 'Y0.3WazGrM', 'index': 2}]"
yō,yō,0,,,,"[{'id': 'Y0.3WazGrM', 'index': 3}]"
zaotā,zaōtā,1,"a to aō, o inserted",,False,"[{'id': 'Y0.3WazGrM', 'index': 4}]"
frāmē,frāmē,0,,,,"[{'id': 'Y0.3WazGrM', 'index': 5}]"
mrētē,mrūtē,1,ē to ū,,False,"[{'id': 'Y0.3WazGrM', 'index': 6}]"
aϑāra,aϑra,1,ā inserted,,False,"[{'id': 'Y0.3WazGrM', 'index': 7}, {'id': 'Y0.3WazGrF', 'index': 0}]"
ratuš,ratuš,0,,,,"[{'id': 'Y0.3WazGrF', 'index': 1}]"
