feature,total_freq,doc_freq,prevalence,entropy,entropy_norm,gini,idf_like,idf_norm,weighted_score,prior_mult,eligible,final_raw,variant_likelihood,label,punct_penalty_applied,singleton_demoted,lexical_whitelist_applied
  deleted,2.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,0.38,False,0.0,0.0,reading,True,True,False
  inserted,5.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,0.38,False,0.0,0.0,reading,True,True,False
", inserted",1.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,0.1444,False,0.0,0.0,reading,True,True,False
. deleted,1.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,0.1444,False,0.0,0.0,reading,True,True,False
a deleted,256.0,9,0.9,3.0912925781559024,0.9305717913983687,0.26171875,0.0,0.055908659020217785,0.10431532922032627,0.38,True,0.039639825103723984,0.04109354281320638,reading,True,False,False
a for ai,50.0,9,0.9,2.9816082331552867,0.8975535134984266,0.352,0.0,0.055908659020217785,0.13348929730031467,1.0,True,0.13348929730031467,0.138384771864192,reading,False,False,False
a for au,2.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,0.68,False,0.0,0.0,reading,False,True,False
a for aē,13.0,7,0.7,2.6612262562697895,0.8011089283857676,0.46923076923076923,0.22314355131420976,0.1868039815198666,0.2990289720248017,0.68,True,0.20333970097686518,0.21079681067847064,reading,False,False,False
a for aō,11.0,4,0.4,1.6858157091530304,0.5074810956166081,0.7363636363636363,0.6931471805599453,0.46250666826028447,0.640538844135571,0.68,True,0.4355664140121883,0.45154001147505335,reading,False,False,False
a for c,2.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,1.0,False,0.0,0.0,reading,False,True,False
a for e,39.0,10,1.0,3.0385906059022396,0.9147069169193652,0.34102564102564104,-0.0953101798043249,0.0,0.07372197293123975,0.68,True,0.05013094159324303,0.051969401712490086,reading,False,False,False
a for h,3.0,3,0.3,1.584962500721156,0.47712125471966244,0.7,0.9162907318741551,0.5934019907599334,0.7294629686183141,1.0,True,0.7294629686183141,0.7562146819045672,variant,False,False,False
a for i,49.0,9,0.9,2.842622213058325,0.8557145524712843,0.42653061224489797,0.0,0.055908659020217785,0.16048974256696763,0.68,True,0.10913302494553799,0.11313527799881416,reading,False,False,False
a for ii,1.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,0.68,False,0.0,0.0,reading,False,True,False
a for m,5.0,4,0.4,1.9219280948873623,0.5785580060704263,0.66,0.6931471805599453,0.46250666826028447,0.6072325529538983,1.0,True,0.6072325529538983,0.6295016904612775,reading,False,False,False
a for n,4.0,4,0.4,2.0,0.6020599913279624,0.6,0.6931471805599453,0.46250666826028447,0.587532155902391,0.68,True,0.39952186601362594,0.4141735959450705,reading,False,False,False
a for o,2.0,2,0.2,1.0,0.3010299956639812,0.8,1.2039728043259361,0.762155411726687,0.9009858421649845,1.0,False,0.0,0.0,reading,False,False,False
a for t,3.0,2,0.2,0.9182958340544896,0.276434590943675,0.8333333333333334,1.2039728043259361,0.762155411726687,0.9142382564423792,1.0,True,0.9142382564423792,0.947766263707773,variant,False,False,False
a for u,3.0,2,0.2,0.9182958340544896,0.276434590943675,0.8333333333333334,1.2039728043259361,0.762155411726687,0.9142382564423792,0.68,True,0.6216820143808179,0.6444810593212856,reading,False,False,False
a for ā,45.0,8,0.8,2.8049671980944613,0.8443792634799852,0.42,0.10536051565782635,0.11771281421330697,0.21773230200135085,0.38,True,0.08273827476051332,0.08577254887642204,reading,True,False,False
a for āi,1.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,1.0,False,0.0,0.0,reading,False,True,False
a for ā̊,5.0,3,0.3,1.3709505944546687,0.4126972515042214,0.78,0.9162907318741551,0.5934019907599334,0.7623477692614024,0.38,True,0.2896921523193329,0.30031607941847444,reading,True,False,False
a for ą,6.0,2,0.2,0.9182958340544896,0.276434590943675,0.8333333333333334,1.2039728043259361,0.762155411726687,0.9142382564423792,0.38,True,0.34741053744810413,0.36015118020895376,reading,True,False,False
a for ē,4.0,2,0.2,0.8112781244591328,0.24421905028821556,0.85,1.2039728043259361,0.762155411726687,0.9248480312401378,0.68,True,0.6288966612432938,0.6519602900936098,reading,False,False,False
a for ī,5.0,3,0.3,1.3709505944546687,0.4126972515042214,0.78,0.9162907318741551,0.5934019907599334,0.7623477692614024,0.68,True,0.5183964830977537,0.5374077210646385,reading,False,False,False
a for ō,11.0,7,0.7,2.73215889136457,0.8224617792207841,0.4090909090909091,0.22314355131420976,0.1868039815198666,0.2797234368228334,0.68,True,0.19021193703952674,0.1971876101335872,reading,False,False,False
a for ōi,1.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,1.0,False,0.0,0.0,reading,False,True,False
a for ū,1.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,0.68,False,0.0,0.0,reading,False,True,False
a for ə,139.0,10,1.0,3.129812853912745,0.9421675498424263,0.25539568345323743,-0.0953101798043249,0.0,0.04682235695352663,0.68,True,0.03183920272839811,0.03300684695339052,reading,False,False,False
a for ə̄,5.0,4,0.4,1.9219280948873623,0.5785580060704263,0.66,0.6931471805599453,0.46250666826028447,0.6072325529538983,0.68,True,0.4129181360086509,0.4280611495136687,reading,False,False,False
a for ϑ,2.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,1.0,False,0.0,0.0,reading,False,True,False
a for ṇ,1.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,0.68,False,0.0,0.0,reading,False,True,False
a for ạ,1.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,0.38,False,0.0,0.0,reading,True,True,False
a inserted,294.0,10,1.0,2.974457634892926,0.8954009689345133,0.36394557823129253,-0.0953101798043249,0.0,0.08331314682962301,0.38,True,0.031658995795256745,0.03282003126227927,reading,True,False,False
ai deleted,16.0,5,0.5,2.149397470347699,0.64703311117894,0.625,0.5108256237659907,0.35555740248662016,0.5050910648940092,1.0,True,0.5050910648940092,0.5236143511097389,reading,False,False,False
ai for a,207.0,10,1.0,3.170165130267071,0.9543147954184008,0.21497584541062803,-0.0953101798043249,0.0,0.03428794832767938,1.0,True,0.03428794832767938,0.03554539579560683,reading,False,False,False
ai for au,2.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,0.68,False,0.0,0.0,reading,False,True,False
ai for aē,27.0,7,0.7,2.383068983003922,0.7173752456206387,0.5592592592592592,0.22314355131420976,0.1868039815198666,0.33828283108495005,0.68,True,0.23003232513776606,0.2384683377571751,reading,False,False,False
ai for i,12.0,6,0.6,2.5220552088742005,0.7592142685917218,0.48333333333333334,0.3566749439387324,0.2651330867011423,0.3759929627966087,0.68,True,0.25567521470169396,0.2650516331524567,reading,False,False,False
ai for ii,275.0,10,1.0,3.0796084872647067,0.9270545295680543,0.2861818181818182,-0.0953101798043249,0.0,0.057541494690546216,0.68,True,0.03912821638957143,0.04056317179003397,reading,False,False,False
ai for m,7.0,2,0.2,0.9852281360342515,0.29658322151842303,0.8142857142857143,1.2039728043259361,0.762155411726687,0.9054466255655247,1.0,True,0.9054466255655247,0.9386522159315634,variant,False,False,False
ai for r,1.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,1.0,False,0.0,0.0,reading,False,True,False
ai for u,4.0,3,0.3,1.5,0.4515449934959718,0.75,0.9162907318741551,0.5934019907599334,0.7470782208630522,0.68,True,0.5080131901868755,0.5266436399755132,reading,False,False,False
ai for ā,1.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,1.0,False,0.0,0.0,reading,False,True,False
ai for āi,4.0,3,0.3,1.5,0.4515449934959718,0.75,0.9162907318741551,0.5934019907599334,0.7470782208630522,0.38,True,0.28388972392795986,0.29430085763337505,reading,True,False,False
ai for ā̊,4.0,2,0.2,1.0,0.3010299956639812,0.8,1.2039728043259361,0.762155411726687,0.9009858421649845,1.0,True,0.9009858421649845,0.9340278415007761,variant,False,False,False
ai for ē,1.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,0.68,False,0.0,0.0,reading,False,True,False
ai for ī,1.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,0.68,False,0.0,0.0,reading,False,True,False
ai for ə,22.0,7,0.7,2.6647069161207506,0.8021567114056103,0.4636363636363636,0.22314355131420976,0.1868039815198666,0.2974208140222318,0.68,True,0.20224615353511763,0.20966315939473923,reading,False,False,False
ai for ϑ,1.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,1.0,False,0.0,0.0,reading,False,True,False
ai inserted,22.0,7,0.7,2.313100666415769,0.696312683581491,0.6,0.22314355131420976,0.1868039815198666,0.35268052867796473,1.0,True,0.35268052867796473,0.36561443867850624,reading,False,False,False
au deleted,9.0,4,0.4,1.8365916681089791,0.55286918188735,0.7,0.6931471805599453,0.46250666826028447,0.6223703177905135,0.68,True,0.42321181609754926,0.4387323313953177,reading,False,False,False
au for a,36.0,6,0.6,1.9539684039196084,0.588203100159476,0.6944444444444444,0.3566749439387324,0.2651330867011423,0.4629729742608356,0.68,True,0.3148216224973682,0.32636712671578644,reading,False,False,False
au for aō,60.0,7,0.7,2.6810412667965324,0.8070738409187148,0.43666666666666665,0.22314355131420976,0.1868039815198666,0.28969496387718663,0.68,True,0.19699257543648693,0.20421691597782965,reading,False,False,False
au for h,2.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,0.68,False,0.0,0.0,reading,False,True,False
au for i,1.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,0.68,False,0.0,0.0,reading,False,True,False
au for u,7.0,5,0.5,2.235926350629032,0.6730808996348389,0.5857142857142857,0.5108256237659907,0.35555740248662016,0.4900600786314009,0.68,True,0.3332408534693526,0.3454618491206658,reading,False,False,False
au for uu,49.0,9,0.9,2.851323287340066,0.8583338368245886,0.4306122448979592,0.0,0.055908659020217785,0.16098629385957205,0.68,True,0.109470679824509,0.11348531574970674,reading,False,False,False
au for v,1.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,0.68,False,0.0,0.0,reading,False,True,False
au for āu,1.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,0.2584,False,0.0,0.0,reading,True,True,False
au for ō,2.0,2,0.2,1.0,0.3010299956639812,0.8,1.2039728043259361,0.762155411726687,0.9009858421649845,0.68,False,0.0,0.0,reading,False,False,False
au inserted,3.0,3,0.3,1.584962500721156,0.47712125471966244,0.7,0.9162907318741551,0.5934019907599334,0.7294629686183141,0.68,True,0.49603481866045357,0.5142259836951057,reading,False,False,False
aē deleted,10.0,4,0.4,1.8464393446710154,0.55583362792012,0.7,0.6931471805599453,0.46250666826028447,0.6217774285839596,0.68,True,0.42280865143709256,0.4383143814121405,reading,False,False,False
aē for a,98.0,9,0.9,1.9466837834561947,0.5860102108929608,0.6979591836734694,0.0,0.055908659020217785,0.2822877537397752,0.68,True,0.19195567254304716,0.19899529393091286,reading,False,False,False
aē for ai,27.0,8,0.8,2.5787805576388956,0.7762903000843958,0.5222222222222223,0.10536051565782635,0.11771281421330697,0.2569056502360243,0.68,True,0.17469584216049652,0.18110249100057418,reading,False,False,False
aē for au,4.0,3,0.3,1.5,0.4515449934959718,0.75,0.9162907318741551,0.5934019907599334,0.7470782208630522,0.68,True,0.5080131901868755,0.5266436399755132,reading,False,False,False
aē for e,13.0,4,0.4,1.5465935642949382,0.4655710539536465,0.7615384615384615,0.6931471805599453,0.46250666826028447,0.6552145587618697,0.68,True,0.4455458999580715,0.4618854767211251,reading,False,False,False
aē for i,8.0,4,0.4,1.75,0.5268024924119671,0.725,0.6931471805599453,0.46250666826028447,0.6338336556855901,0.68,True,0.43100688586620134,0.4468132710168182,reading,False,False,False
aē for ā,1.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,0.68,False,0.0,0.0,reading,False,True,False
aē for ē,10.0,4,0.4,1.6854752972273344,0.5073786214160919,0.74,0.6931471805599453,0.46250666826028447,0.6414684298847653,0.68,True,0.4361985323216404,0.45219531156138093,reading,False,False,False
aē for ī,71.0,6,0.6,2.5261277916079212,0.760440238154395,0.4915492957746479,0.3566749439387324,0.2651330867011423,0.3778017594944027,0.68,True,0.25690519645619386,0.26632672222653175,reading,False,False,False
aē for ū,4.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,0.68,False,0.0,0.0,reading,False,True,False
aē for ə,12.0,2,0.2,1.0,0.3010299956639812,0.8,1.2039728043259361,0.762155411726687,0.9009858421649845,0.68,True,0.6126703726721895,0.6351389322205279,reading,False,False,False
aē for ə̄,7.0,5,0.5,2.2359263506290326,0.673080899634839,0.5857142857142857,0.5108256237659907,0.35555740248662016,0.4900600786314009,0.68,True,0.3332408534693526,0.3454618491206658,reading,False,False,False
aē inserted,9.0,4,0.4,1.6577427265048887,0.49903028577176306,0.7444444444444445,0.6931471805599453,0.46250666826028447,0.6442492081247422,0.68,True,0.4380894615248247,0.454155587116696,reading,False,False,False
aō deleted,8.0,4,0.4,1.5487949406953985,0.4662337342819318,0.75,0.6931471805599453,0.46250666826028447,0.6521974073115973,0.68,True,0.44349423697188617,0.45975857276682,reading,False,False,False
aō for a,1232.0,7,0.7,1.6522495287091732,0.4973766684631374,0.7271103896103897,0.22314355131420976,0.1868039815198666,0.4242453291042329,0.68,True,0.2884868237908784,0.2990665476821861,reading,False,False,False
aō for ai,1.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,0.68,False,0.0,0.0,reading,False,True,False
aō for au,7.0,3,0.3,1.4488156357251847,0.4361369645402605,0.7571428571428571,0.9162907318741551,0.5934019907599334,0.7519455409399087,0.68,True,0.511322967839138,0.5300747976382816,reading,False,False,False
aō for d,1.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,0.68,False,0.0,0.0,reading,False,True,False
aō for m,1.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,0.68,False,0.0,0.0,reading,False,True,False
aō for o,17.0,3,0.3,1.548565226030918,0.46616458327747934,0.7352941176470589,0.9162907318741551,0.5934019907599334,0.7404778323185154,0.68,True,0.5035249259765905,0.5219907769268061,reading,False,False,False
aō for u,5.0,4,0.4,1.9219280948873623,0.5785580060704263,0.66,0.6931471805599453,0.46250666826028447,0.6072325529538983,0.68,True,0.4129181360086509,0.4280611495136687,reading,False,False,False
aō for ā,3.0,2,0.2,0.9182958340544896,0.276434590943675,0.8333333333333334,1.2039728043259361,0.762155411726687,0.9142382564423792,0.68,True,0.6216820143808179,0.6444810593212856,reading,False,False,False
aō for āi,3.0,2,0.2,0.9182958340544896,0.276434590943675,0.8333333333333334,1.2039728043259361,0.762155411726687,0.9142382564423792,0.68,True,0.6216820143808179,0.6444810593212856,reading,False,False,False
aō for āu,3.0,2,0.2,0.9182958340544896,0.276434590943675,0.8333333333333334,1.2039728043259361,0.762155411726687,0.9142382564423792,0.68,True,0.6216820143808179,0.6444810593212856,reading,False,False,False
aō for ą,1.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,0.68,False,0.0,0.0,reading,False,True,False
aō for ō,85.0,8,0.8,2.6676471928877774,0.8030418229080393,0.4929411764705882,0.10536051565782635,0.11771281421330697,0.24423508423338708,0.68,True,0.16607985727870322,0.17217053071337682,reading,False,False,False
aō for ōi,62.0,8,0.8,2.919113141630534,0.8787406163677102,0.3387096774193548,0.10536051565782635,0.11771281421330697,0.19053745077864453,0.68,True,0.12956546652947828,0.13431704181363754,reading,False,False,False
aō for ū,3.0,2,0.2,0.9182958340544896,0.276434590943675,0.8333333333333334,1.2039728043259361,0.762155411726687,0.9142382564423792,0.68,True,0.6216820143808179,0.6444810593212856,reading,False,False,False
aō inserted,1.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,0.68,False,0.0,0.0,reading,False,True,False
