xml_id,our_index,our_word,canon_indexes,canon_words,relation,matched
Y0.12,0,xšnaōϑra.,0,xšnaōϑra.,equal,True
Y0.12,1,ahurahe.,1,ahurahe.,equal,True
Y0.12,2,mazdā̊.,2,mazdā̊.,equal,True
Y0.12,3,tarōidaitē.,3,tarōidīti.,substitution,True
Y0.12,4,aŋrahe.,4,aŋhrahe.,substitution,True
Y0.12,5,maińiiə̄uš.,5,maińiiə̄uš.,equal,True
Y0.12,6,haiϑiiā.,,,grouped,True
Y0.12,7,varəštąm.,6,haiϑiiā.varəštąm.,substitution,True
Y0.12,8,hiiat̰.,7,hiiat̰.,equal,True
Y0.12,9,vasnā.,8,vasnā.,equal,True
Y0.12,10,frašōtəməm.,9,fərašō.təməm.,substitution,True
Y0.3,0,frauuarāne.,0,frauuarāne.,equal,True
Y0.3,1,mazdaiiasnō.,1,mazdaiiasnō.,equal,True
Y0.3,2,zaraϑuštrəš.,2,zaraϑuštriš.,substitution,True
Y0.3,3,vīdaēuuō.,3,vīdaēuuō.,equal,True
Y0.3,4,ahura.t̰kaēšō.,4,ahura.t̰kaēšō.,equal,True
Y0.3,5,hāuuanə̄e.,5,hāuuanə̄e.,equal,True
Y0.3,,,6,aṣ̌aōne.,grouped,True
Y0.3,6,aṣ̌ahe.,7,aṣ̌ahe.,equal,True
Y0.3,7,raϑβe.,8,raϑβe.,equal,True
Y0.3,8,yasnāica.,9,yasnāica.,equal,True
Y0.3,9,vahmāica.,10,vaɱāica.,substitution,True
Y0.3,10,xšnaōϑrāica.,11,xšnaōϑrāica.,equal,True
Y0.3,11,frasastaiiaēca.,12,frasastaiiaēca.,equal,True
Y0.3,12,sāuuaŋhə̄e.,13,sāuuaŋhə̄e.,equal,True
Y0.3,13,vīsiiāica.,14,vīsiiāica.,equal,True
Y0.3,14,aṣ̌aōne.,15,aṣ̌aōne.,equal,True
Y0.3,,,16,aṣ̌ahe.,grouped,True
Y0.3,15,raϑβe.,17,raϑβe.,equal,True
Y0.3,16,yasnāica.,18,yasnāica.,equal,True
Y0.3,,,19,vaɱāica.,grouped,True
