feature,total_freq,doc_freq,prevalence,entropy,entropy_norm,gini,idf_like,idf_norm,weighted_score,prior_mult,eligible,final_raw,variant_likelihood,label,punct_penalty_applied,singleton_demoted,lexical_whitelist_applied
  deleted,2.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,0.42,False,0.0,0.0,reading,True,True,False
  inserted,5.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,0.42,False,0.0,0.0,reading,True,True,False
", inserted",1.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,0.17639999999999997,False,0.0,0.0,reading,True,True,False
. deleted,1.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,0.17639999999999997,False,0.0,0.0,reading,True,True,False
a deleted,256.0,9,0.9,3.0912925781559024,0.9305717913983687,0.26171875,0.0,0.055908659020217785,0.10431532922032627,0.42,True,0.04381243827253703,0.04541917889880705,reading,True,False,False
a for ai,50.0,9,0.9,2.9816082331552867,0.8975535134984266,0.352,0.0,0.055908659020217785,0.13348929730031467,1.0,True,0.13348929730031467,0.138384771864192,reading,False,False,False
a for au,2.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,0.72,False,0.0,0.0,reading,False,True,False
a for aē,13.0,7,0.7,2.6612262562697895,0.8011089283857676,0.46923076923076923,0.22314355131420976,0.1868039815198666,0.2990289720248017,0.72,True,0.21530085985785724,0.22319662307132185,reading,False,False,False
a for aō,11.0,4,0.4,1.6858157091530304,0.5074810956166081,0.7363636363636363,0.6931471805599453,0.46250666826028447,0.640538844135571,0.72,True,0.4611879677776111,0.47810118862064466,reading,False,False,False
a for c,2.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,1.0,False,0.0,0.0,reading,False,True,False
a for e,39.0,10,1.0,3.0385906059022396,0.9147069169193652,0.34102564102564104,-0.0953101798043249,0.0,0.07372197293123975,0.72,True,0.05307982051049262,0.05502642534263656,reading,False,False,False
a for h,3.0,3,0.3,1.584962500721156,0.47712125471966244,0.7,0.9162907318741551,0.5934019907599334,0.7294629686183141,1.0,True,0.7294629686183141,0.7562146819045672,variant,False,False,False
a for i,49.0,9,0.9,2.842622213058325,0.8557145524712843,0.42653061224489797,0.0,0.055908659020217785,0.16048974256696763,0.72,True,0.11555261464821669,0.11979029435168556,reading,False,False,False
a for ii,1.0,1,0.1,-0.0,-0.0,0.9,1.6094379124341003,1.0,1.13283137373023,0.72,False,0.0,0.0,reading,False,True,False
a for m,5.0,4,0.4,1.9219280948873623,0.5785580060704263,0.66,0.6931471805599453,0.46250666826028447,0.6072325529538983,1.0,True,0.6072325529538983,0.6295016904612775,reading,False,False,False
a for n,4.0,4,0.4,2.0,0.6020599913279624,0.6,0.6931471805599453,0.46250666826028447,0.587532155902391,0.72,True,0.42302315224972153,0.4385367486477217,reading,False,False,False
a for o,2.0,2,0.2,1.0,0.3010299956639812,0.8,1.2039728043259361,0.762155411726687,0.9009858421649845,1.0,False,0.0,0.0,reading,False,False,False
a for t,3.0,2,0.2,0.9182958340544896,0.276434590943675,0.8333333333333334,1.2039728043259361,0.762155411726687,0.9142382564423792,1.0,True,0.9142382564423792,0.947766263707773,variant,False,False,False
a for u,3.0,2,0.2,0.9182958340544896,0.276434590943675,0.8333333333333334,1.2039728043259361,0.762155411726687,0.9142382564423792,0.72,True,0.658251544638513,0.6823917098695964,reading,False,False,False
