xml_id,our_index,our_word,canon_indexes,canon_words,relation,matched
Y0.6,0,frastuiiē.,2,fərastuiiē.,substitution,True
Y0.6,1,humatōibiiascā.,3,humatōibiiascā.,equal,True
Y0.6,2,hīxtōibiiascā.,4,hūxtōibiiascā.,substitution,True
Y0.6,3,huuarəštōibiiscā.,5,huuarštōibiiascā.,substitution,True
Y0.6,4,mąϑβōibiiascā.,6,mąϑβōibiiascā.,equal,True
Y0.6,5,vaxəδβōibiiascā.,7,vaxəδβōibiiascā.,equal,True
Y0.6,6,varəštuuōibiiascā.,8,varštuuōibiiascā.,substitution,True
Y0.6,7,aibī.gairiiā.,9,aibī.gairiiā.,equal,True
Y0.6,8,daiϑī.,10,daiϑē.,substitution,True
Y0.6,9,vīspā.,11,vīspā.,equal,True
Y0.6,10,humatācā.,12,humatācā.,equal,True
Y0.6,11,hīxtācā.,13,hūxtācā.,substitution,True
Y0.6,12,huuarštācā.,14,huuarštācā.,equal,True
Y0.6,13,paitirəciiā.,15,paitī.riciiā.,substitution,True
Y0.6,14,diiϑə̄.,16,daiϑē.,substitution,True
Y0.6,15,vīspā.,17,vīspā.,equal,True
Y0.6,16,dušmatācā.,18,dušmatācā.,equal,True
Y0.6,17,dužīxtācā.,19,dužūxtācā.,substitution,True
Y0.6,18,dužuuarəštācā.,20,dužuuarštācā.,substitution,True
Y0.7,0,frā.,0,fərā.,substitution,True
Y0.7,1,vīrāhə̄.,2,rāhī.,substitution,True
Y0.7,2,aməṣ̌ā.,3,aməṣ̌ā.,equal,True
Y0.7,3,spəṇtā.,4,spəṇtā.,equal,True
Y0.7,4,yasnəmcā.,5,yasnəmcā.,equal,True
Y0.7,5,vahməmcā.,6,vaɱəmcā.,substitution,True
Y0.7,6,pərā.,7,fərā.,substitution,True
Y0.7,7,manaŋhā.,8,manaŋhā.,equal,True
Y0.7,8,frā.,9,fərā.,substitution,True
Y0.7,9,vacaŋhā.,10,vacaŋhā.,equal,True
Y0.7,10,frā.,11,fərā.,substitution,True
Y0.7,11,š́iiōϑanā.,12,š́iiaōϑanā.,substitution,True
Y0.7,12,frā.,13,fərā.,substitution,True
Y0.7,13,aŋhā̊.,14,aŋhuiiā.,substitution,True
Y0.7,14,fərātanuuascīt̰.,15;16,fərā. tanuuascīt̰.,many-to-one,True
Y0.7,15,xᵛax́iiā̊.,17,xᵛax́iiā̊.,equal,True
Y0.7,16,uštanəm.,18,uštanəm.,equal,True
Y0.8,0,staōmī.,0,staōmī.,equal,True
Y0.9,0,aṣ̌əm.,0,aṣ̌əm.,equal,True
Y0.9,1,vohī.,1,vohū.,substitution,True
Y0.10,0,frauuarāne.,0,frauuarāne.,equal,True
Y0.10,1,mazdaiiasnō.,1,mazdaiiasnō.,equal,True
Y0.10,2,zaraϑuštrəš.,2,zaraϑuštriš.,substitution,True
Y0.10,3,vīdaēuuō.,3,vīdaēuuō.,equal,True
Y0.10,4,ahura.t̰kaēšō.,4,ahura.t̰kaēšō.,equal,True
Y0.10,5,hāuuanə̄e.,5,hāuuanə̄e.,equal,True
Y0.10,6,aṣ̌aōne.,6,aṣ̌aōne.,equal,True
Y0.10,7,aṣ̌ahe.,7,aṣ̌ahe.,equal,True
Y0.10,8,raϑβe.,8,raϑβe.,equal,True
Y0.10,9,yasnāica.,9,yasnāica.,equal,True
Y0.10,10,vahmāica.,10,vaɱāica.,substitution,True
Y0.10,11,xšnaōϑrāica.,11,xšnaōϑrāica.,equal,True
Y0.10,12,frasastaiiaēca.,12,frasastaiiaēca.,equal,True
Y0.10,13,sāuuaŋhə̄e.,13,sāuuaŋhə̄e.,equal,True
Y0.10,14,vīsiiāica.,14,vīsiiāica.,equal,True
Y0.10,15,aṣ̌aōne.,15,aṣ̌aōne.,equal,True
Y0.10,16,aṣ̌ahe.,16,aṣ̌ahe.,equal,True
Y0.10,17,raϑβe.,17,raϑβe.,equal,True
Y0.10,18,raϑβąm.,22,raϑβąm.,equal,True
Y0.10,19,aiiaranąmca.,23,aiiaranąmca.,equal,True
Y0.10,20,asniianąmca.,24,asńiianąmca.,substitution,True
Y0.10,21,māhiianąmca.,25,māhiianąmca.,equal,True
Y0.10,22,yāiriianąmca.,26,yāiriianąmca.,equal,True
Y0.10,23,sarəδanąmca.,27,sarəδanąmca.,equal,True
