xml_id,our_index,our_word,canon_indexes,canon_words,relation,matched
Y1.1,0,ńiuuaēaiiemi.,6,ńiuuaēδaiiemi.,substitution,True
Y1.1,1,haṇkāraiiemi.,7,haṇkāraiiemi.,equal,True
Y1.1,2,daϑušō.,8,daϑušō.,equal,True
Y1.1,3,ahurahe.,9,ahurahe.,equal,True
Y1.1,4,mazdā̊.,10,mazdā̊.,equal,True
Y1.1,5,raēuuatō.,11,raēuuatō.,equal,True
Y1.1,6,xᵛarənaŋᵛhatō.,12,xᵛarənaŋᵛhatō.,equal,True
Y1.1,7,mazištaheca,13,mazištaheca.,substitution,True
Y1.1,8,vahištaheca.,14,vahištaheca.,equal,True
Y1.1,9,sraēštaheca.,15,sraēštaheca.,equal,True
Y1.1,10,xraōždištaheca.,16,xraōždištaheca.,equal,True
Y1.1,11,xraϑβištaheca.,17,xraϑβištaheca.,equal,True
Y1.1,12,hukərəftəmaheca.,18,hukərəptəmaheca.,substitution,True
Y1.1,13,aṣ̌āt̰.,19,aṣ̌āt̰.,equal,True
Y1.1,14,apnōtəmaheca.,20,apanō.təmaheca.,substitution,True
Y1.1,15,huδā̊.,,,unmatched,False
Y1.1,16,manō.,24,nō.,substitution,True
Y1.1,17,vaōuru.rafnaŋhō.,,,unmatched,False
Y1.1,18,yō.,26,yō.,equal,True
Y1.1,19,nō.,28,yō.,substitution,True
Y1.1,20,daδa.,,,unmatched,False
Y1.1,21,yō.,30,yō.,equal,True
Y1.1,22,tataša.,,,unmatched,False
Y1.1,23,yō.,,,unmatched,False
Y1.1,24,tuϑruiiē.,,,unmatched,False
Y1.1,25,yō.,,,unmatched,False
Y1.1,26,maińiiu.,31,maińiiuš.,substitution,True
Y1.1,27,spəṇtōtəmō.,32,spəṇtō.təmō.,substitution,True
Y1.2,0,ńiuuaēaiiemi.,0,ńiuuaēδaiiemi.,substitution,True
Y1.2,1,haṇkāraiiemi.,1,haṇkāraiiemi.,equal,True
Y1.2,2,vaŋhauue.,2,vaŋhauue.,equal,True
Y1.2,3,manaŋhe.,3,manaŋhe.,equal,True
Y1.2,4,aṣ̌āi.,4,aṣ̌āi.,equal,True
Y1.2,5,vahištāi.,5,vahištāi.,equal,True
Y1.2,6,xšaϑrāi.,6,xšaϑrāi.,equal,True
Y1.2,7,vairiiāi.,7,vairiiāi.,equal,True
Y1.2,8,spəṇtaiiāi.,8,spəṇtaiiāi.,equal,True
Y1.2,9,ārmaitē.,9,ārmatə̄e.,substitution,True
Y1.2,10,hauruuat̰biia.,10,hauruuat̰biia.,equal,True
Y1.2,11,amərətat̰biia.,11,amərətat̰biia.,equal,True
Y1.2,12,gə̄uš.,12,gə̄uš.,equal,True
Y1.2,13,taṣ̌ne.,13,tašne.,substitution,True
Y1.2,14,gə̄uš.,14,gə̄uš.,equal,True
Y1.2,15,urune.,15,urune.,equal,True
Y1.2,16,ātre.,16,āϑre.,substitution,True
Y1.2,17,ahurahe.,17,ahurahe.,equal,True
Y1.2,18,mazdā̊.,18,mazdā̊.,equal,True
Y1.2,19,yaētuštəmāi.,19,yaētuštəmāi.,equal,True
Y1.2,20,aməṣ̌anąm.,20,aməṣ̌anąm.,equal,True
Y1.2,21,spəṇtanąm.,21,spəṇtanąm.,equal,True
Y1.3,0,ńiuuaēδaiiemi.,0,ńiuuaēδaiiemi.,equal,True
Y1.3,1,haṇkāraiiemi.,1,haṇkāraiiemi.,equal,True
Y1.3,2,asniiaēibiiō.,2,asńiiaēibiiō.,substitution,True
Y1.3,3,aṣ̌ahe.,3,aṣ̌ahe.,equal,True
Y1.3,4,ratubiiō.,4,ratubiiō.,equal,True
Y1.3,5,hāuuanə̄e.,5,hāuuanə̄e.,equal,True
Y1.3,6,aṣ̌aōne.,6,aṣ̌aōne.,equal,True
Y1.3,7,aṣ̌ahe.,7,aṣ̌ahe.,equal,True
Y1.3,8,raϑβe.,8,raϑβe.,equal,True
Y1.3,9,ńiuuaēδaiiemi.,9,ńiuuaēδaiiemi.,equal,True
Y1.3,10,haṇkāraiiemi.,10,haṇkāraiiemi.,equal,True
Y1.3,11,sāuuaŋhə̄e.,11,sāuuaŋhə̄e.,equal,True
Y1.3,12,vīsiiāica.,12,vīsiiāica.,equal,True
Y1.3,13,aṣ̌aōne.,13,aṣ̌aōne.,equal,True
Y1.3,14,aṣ̌ahe.,14,aṣ̌ahe.,equal,True
Y1.3,15,raϑβe.,15,raϑβe.,equal,True
Y1.3,16,ńiuuaēδaiiami.,16,ńiuuaēδaiiemi.,substitution,True
Y1.3,17,haṇkāraiiemi.,17,haṇkāraiiemi.,equal,True
Y1.3,18,miϑrahe.,18,miϑrahe.,equal,True
Y1.3,19,vaōuru.gaōiiōitōiš.,19,vouru.gaōiiaōtōiš.,substitution,True
Y1.3,20,hazaŋrō.gaōšahe.,20,hazaŋhrō.gaōšahe.,substitution,True
Y1.3,21,baēuuarə.cašmanō.,21,baēuuarə.cašmanō.,equal,True
