app_id,wit_list,rdg_text,lem_text,feature,variant_likelihood,reason,inference_rule
app-Y9.1a-3-4,#ms0410,※hāuuanīm,hāuuanīm,subst,0.5,borderline/unstable or unmapped,none
app-Y9.2d-8-9,#ms0008,stauuąn⁛,stauuąn,subst,0.5,borderline/unstable or unmapped,none
app-Y9.4e-9-10,#ms0410,uruuaire⁛※,uruuaire,subst,0.5,borderline/unstable or unmapped,none
app-Y9.11b-3-4,#ms0015,araōδat̰,⁺araōδat̰,subst,0.5,borderline/unstable or unmapped,none
app-Y9.11d-3-4,#ms0410,tafsaδca,tafsat̰ca,tafsaδca→tafsat̰ca,0.5,borderline/unstable or unmapped,none
app-Y9.13c-2-3,#ms0006,tə̄m,tūm,tə̄m→tūm,0.5,borderline/unstable or unmapped,none
app-Y9.19c-5-6,#ms0008,jaiδiiemi⁛,jaiδiiemi,subst,0.5,borderline/unstable or unmapped,none
app-Y9.20a-8-9,#ms0005,aēšā̊,aēšō,aēšā̊→aēšō,0.5,borderline/unstable or unmapped,none
app-Y9.20a-14-15,#ms0005,t̰baēšā̊,t̰baēšō,t̰baēšā̊→t̰baēšō,0.5,borderline/unstable or unmapped,none
app-Y9.20b-11-12,#ms0006,fraxštānə̄,fraxštāne,fraxštānə̄→fraxštāne,0.5,borderline/unstable or unmapped,none
app-Y9.20b-14-15,#ms0005,t̰baēšā̊,t̰baēšō,t̰baēšā̊→t̰baēšō,0.5,borderline/unstable or unmapped,none
app-Y9.20b-14-15,#ms0008,t̰baēšā̊,t̰baēšō,t̰baēšā̊→t̰baēšō,0.5,borderline/unstable or unmapped,none
app-Y9.23a-10-11,#ms0410,mūšu,mošu,mūšu→mošu,0.5,borderline/unstable or unmapped,none
app-Y9.25b-1-2,#ms0008,ta,tē,ta→tē,0.5,borderline/unstable or unmapped,none
app-Y9.28c-1-2,#ms0088,h,hē,subst,0.5,borderline/unstable or unmapped,none
app-Y9.28d-2-3,#ms0006,ušə̄,uši,ušə̄→uši,0.5,borderline/unstable or unmapped,none
app-Y9.28d-2-3,#ms0008,ušə̄,uši,ušə̄→uši,0.5,borderline/unstable or unmapped,none
app-Y9.28d-2-3,#ms0015,ušə̄,uši,ušə̄→uši,0.5,borderline/unstable or unmapped,none
app-Y9.30b-2-3,#ms0015,aṣ̌aōnō,aṣ̌aōne,aṣ̌aōnō→aṣ̌aōne,0.5,borderline/unstable or unmapped,none
app-Y9.31c-3-4,#ms0008,ahe,ahu,ahe→ahu,0.5,borderline/unstable or unmapped,none
app-Y9.32a-12-13,#ms0005,vātō,⁺vātō,subst,0.5,borderline/unstable or unmapped,none
app-Y9.32a-12-13,#ms0006,vātō,⁺vātō,subst,0.5,borderline/unstable or unmapped,none
app-Y9.32a-12-13,#ms0008,vātō,⁺vātō,subst,0.5,borderline/unstable or unmapped,none
app-Y9.32a-12-13,#ms0015,vātō,⁺vātō,subst,0.5,borderline/unstable or unmapped,none
app-Y9.32a-12-13,#ms0400,vātō,⁺vātō,subst,0.5,borderline/unstable or unmapped,none
app-Y9.32b-2-3,#ms0005,aṣ̌aōnąe,aṣ̌aōne,subst,0.5,borderline/unstable or unmapped,none
app-Y9.13c-2-3,#ms0006,tə̄m,tūm,tə̄m→tūm,0.5,borderline/unstable or unmapped,none
app-Y9.20a-14-17,#ms0005,t̰baēšā̊ tauruuā̊ drujim,t̰baēšō tauruuā̊ drujim,t̰baēšā̊→t̰baēšō,0.5,borderline/unstable or unmapped,none
app-Y9.8a-9-10,#ms0410,ažīm,ašīm,ažīm→ašīm,0.5,borderline/unstable or unmapped,none
app-Y9.8c-3-4,#ms0015,raca,fraca,subst,0.5,borderline/unstable or unmapped,none
app-Y9.11b-3-4,#ms0006,araōδat̰,⁺araōδat̰,subst,0.5,borderline/unstable or unmapped,none
app-Y9.11b-3-4,#ms0008,araōδat̰,⁺araōδat̰,subst,0.5,borderline/unstable or unmapped,none
app-Y9.11b-3-4,#ms0015,araōδat̰,⁺araōδat̰,subst,0.5,borderline/unstable or unmapped,none
app-Y9.11d-2-3,#ms0006,ruuānəm,zruuānəm,subst,0.5,borderline/unstable or unmapped,none
app-Y9.11d-2-3,#ms0088,ruuānəm,zruuānəm,subst,0.5,borderline/unstable or unmapped,none
app-Y9.11d-3-4,#ms0400,tafsaδca,tafsat̰ca,tafsaδca→tafsat̰ca,0.5,borderline/unstable or unmapped,none
app-Y9.11d-3-4,#ms0410,tafsaδca,tafsat̰ca,tafsaδca→tafsat̰ca,0.5,borderline/unstable or unmapped,none
