app_id,wit_list,rdg_text,lem_text,feature,variant_likelihood,reason,inference_rule,band,orthography_guess,curator_label,curator_note
app-Y1.1-6-6,#ms0005,,ńiuuaēδaiiemi.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.1-6-6,#ms0005,ńiuuaēaiiemi.,ńiuuaēδaiiemi.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.1-12-12,#ms0006 #ms0008 #ms0015,,xᵛarənaŋᵛhatō.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.1-12-12,#ms0006 #ms0008 #ms0015,xᵛarənaŋhatō.,xᵛarənaŋᵛhatō.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.1-13-13,#ms0005,,mazištaheca.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.1-16-16,#ms0006,,xraōždištaheca.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.1-16-16,#ms0006,xraōžδištaheca.,xraōždištaheca.,xraōžδištaheca→xraōždištaheca,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.1-18-18,#ms0005 #ms0015,,hukərəptəmaheca.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.1-18-18,#ms0005 #ms0015,hukərəftəmaheca.,hukərəptəmaheca.,hukərəftəmaheca→hukərəptəmaheca,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.1-20-20,#ms0005,,apanō.təmaheca.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.1-20-20,#ms0005,apnōtəmaheca.,apanō.təmaheca.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.1-20-22,#ms0006,apanōtəmaheca. huδā.manō. vurā.rafnaŋhō,apanō.təmaheca. huδāmanō. vouru.rafnaŋhō.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.1-20-22,#ms0006 #ms0008 #ms0015,,apanō.təmaheca. huδāmanō. vouru.rafnaŋhō.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.1-20-22,#ms0008,apanaōtəmaheca. manō. rafnaŋhō.,apanō.təmaheca. huδāmanō. vouru.rafnaŋhō.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.1-20-22,#ms0015,apanōtəmaheca. manō. rafnaŋhō.,apanō.təmaheca. huδāmanō. vouru.rafnaŋhō.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.1-24-24,#ms0005,,nō.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.1-25-25,#ms0006,,daδa.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.1-25-25,#ms0006,dada.,daδa.,dada→daδa,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.1-31-32,#ms0005,maińiiu. spəṇtōtəmō.,maińiiuš. spəṇtō.təmō.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.1-31-32,#ms0005 #ms0015,,maińiiuš. spəṇtō.təmō.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.1-32-32,#ms0006 #ms0008,,spəṇtō.təmō.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.2-0-0,#ms0005,,ńiuuaēδaiiemi.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.2-0-0,#ms0005,ńiuuaēaiiemi.,ńiuuaēδaiiemi.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.2-5-5,#ms0008,,vahištāi.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.2-5-5,#ms0008,vištāi.,vahištāi.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.2-6-6,#ms0006,,xšaϑrāi.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.2-6-6,#ms0006,xšatrāi.,xšaϑrāi.,xšatrāi→xšaϑrāi,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.2-9-9,#ms0005,,ārmatə̄e.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.2-9-9,#ms0005,ārmaitē.,ārmatə̄e.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.2-9-10,#ms0008,ārmatōiš. hauruuat̰.,ārmatə̄e. hauruuat̰biia.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.2-9-10,#ms0008 #ms0015,,ārmatə̄e. hauruuat̰biia.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.2-9-10,#ms0015,ārmaitə̄e. hauruuaδbiia.,ārmatə̄e. hauruuat̰biia.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.2-13-13,#ms0005 #ms0015,,tašne.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.2-13-13,#ms0015,gašne.,tašne.,gašne→tašne,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.2-16-16,#ms0005,,āϑre.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.2-16-16,#ms0005,ātre.,āϑre.,ātre→āϑre,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.2-18-19,#ms0006,,mazdā̊. yaētuštəmāi.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.2-18-19,#ms0006,mazdā. yaētštəmāi.,mazdā̊. yaētuštəmāi.,subst,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.2-19-19,#ms0008,,yaētuštəmāi.,deleted,0.5,borderline/unstable or unmapped,none,,False,,
app-Y1.2-19-19,#ms0008,yaētuštimāi.,yaētuštəmāi.,yaētuštimāi→yaētuštəmāi,0.5,borderline/unstable or unmapped,none,,False,,
