feature,label_baseline,variant_likelihood_baseline,label_plus,variant_likelihood_plus,label_minus,variant_likelihood_minus,changed_label,abs_diff_plus
ī for ū,reading,0.7059922988552547,variant,0.7261635073939763,reading,0.6858210903165332,True,0.020171208538721563
ū for ə̄,reading,0.7032219172671613,variant,0.7233139720462232,reading,0.6831298624880997,True,0.02009205477906184
ū inserted,reading,0.2724817783283734,reading,0.2942803205946433,reading,0.251461755428756,False,0.021798542266269927
ϑ for s,reading,0.6938741096613908,reading,0.7136990842231449,reading,0.6740491350996369,False,0.019824974561754027
š for o,reading,0.6873673844219694,reading,0.7070064525483114,reading,0.6677283162956276,False,0.019639068126341974
ou inserted,reading,0.6812044458209334,reading,0.700667429987246,reading,0.6617414616546211,False,0.019462984166312536
ou for au,reading,0.676853452162103,reading,0.6961921222238774,reading,0.6575147821003288,False,0.019338670061774366
ou for u,reading,0.676853452162103,reading,0.6961921222238774,reading,0.6575147821003288,False,0.019338670061774366
ī for ą,reading,0.676853452162103,reading,0.6961921222238774,reading,0.6575147821003288,False,0.019338670061774366
ą inserted,reading,0.3867734012354875,reading,0.4061120712972618,reading,0.3674347311737131,False,0.01933867006177431
ŋ deleted,reading,0.3867734012354875,reading,0.4061120712972618,reading,0.3674347311737131,False,0.01933867006177431
a for ē,reading,0.6711355927434217,reading,0.6903108953932338,reading,0.6519602900936098,False,0.019175302649812043
m for u,reading,0.6711355927434217,reading,0.6903108953932338,reading,0.6519602900936098,False,0.019175302649812043
āi for i,reading,0.6711355927434217,reading,0.6903108953932338,reading,0.6519602900936098,False,0.019175302649812043
a for u,reading,0.663436384595441,reading,0.6823917098695964,reading,0.6444810593212856,False,0.018955325274155443
aō for ā,reading,0.663436384595441,reading,0.6823917098695964,reading,0.6444810593212856,False,0.018955325274155443
aō for āi,reading,0.663436384595441,reading,0.6823917098695964,reading,0.6444810593212856,False,0.018955325274155443
aō for āu,reading,0.663436384595441,reading,0.6823917098695964,reading,0.6444810593212856,False,0.018955325274155443
aō for ū,reading,0.663436384595441,reading,0.6823917098695964,reading,0.6444810593212856,False,0.018955325274155443
ii for a,reading,0.663436384595441,reading,0.6823917098695964,reading,0.6444810593212856,False,0.018955325274155443
ii for m,reading,0.663436384595441,reading,0.6823917098695964,reading,0.6444810593212856,False,0.018955325274155443
ii for āi,reading,0.663436384595441,reading,0.6823917098695964,reading,0.6444810593212856,False,0.018955325274155443
j for z,reading,0.663436384595441,reading,0.6823917098695964,reading,0.6444810593212856,False,0.018955325274155443
o for u,reading,0.663436384595441,reading,0.6823917098695964,reading,0.6444810593212856,False,0.018955325274155443
u for au,reading,0.663436384595441,reading,0.6823917098695964,reading,0.6444810593212856,False,0.018955325274155443
u for aō,reading,0.663436384595441,reading,0.6823917098695964,reading,0.6444810593212856,False,0.018955325274155443
ā̊ for i,reading,0.663436384595441,reading,0.6823917098695964,reading,0.6444810593212856,False,0.018955325274155443
ō for u,reading,0.663436384595441,reading,0.6823917098695964,reading,0.6444810593212856,False,0.018955325274155443
š for m,reading,0.663436384595441,reading,0.6823917098695964,reading,0.6444810593212856,False,0.018955325274155443
š for ē,reading,0.663436384595441,reading,0.6823917098695964,reading,0.6444810593212856,False,0.018955325274155443
š for ə,reading,0.663436384595441,reading,0.6823917098695964,reading,0.6444810593212856,False,0.018955325274155443
ə̄u for ə̄,reading,0.663436384595441,reading,0.6823917098695964,reading,0.6444810593212856,False,0.018955325274155443
δ for ii,reading,0.663436384595441,reading,0.6823917098695964,reading,0.6444810593212856,False,0.018955325274155443
a for ą,reading,0.3791065054831092,reading,0.3980618307572646,reading,0.3601511802089537,False,0.018955325274155388
t̰ for t,reading,0.3791065054831092,reading,0.3980618307572646,reading,0.3601511802089537,False,0.018955325274155388
